accessionID,TRACING,Year,Month,Day,WeekNum,WeekRedux,recievedYMD,seqTest,receiveDate,seqSpecimen,age_days,weight_pounds,siteState,H1,H3,N1,N2,cultureResult,pcrSpecimen,ISUseq_found,stateIsUSA,partial,ISUseq_good,USDA_seqFound,clade,seq_phylo
2003020863,,2003,6,25,26,03-06-26,03-06-25,ISU,03-06-25,,36,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,not colored,TRUE
2003025818,,2003,8,7,32,03-08-06,03-08-07,ISU,03-08-07,,NA,230,,,,,,,,,,,,,,FALSE
2003026576,,2003,8,14,33,03-08-13,03-08-14,ISU,03-08-14,,4015,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,not colored,TRUE
2003026663,,2003,8,14,33,03-08-13,03-08-14,ISU,03-08-14,,63,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,,FALSE
2003026664,,2003,8,14,33,03-08-13,03-08-14,ISU,03-08-14,,49,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma-like,TRUE
2003026907,,2003,8,18,34,03-08-23,03-08-18,ISU,03-08-18,,NA,NA,,,,,,,,,,,,,,FALSE
2003028641,,2003,9,3,36,03-09-04,03-09-03,ISU,03-09-03,,45.5,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,not colored,TRUE
2003029408,,2003,9,9,37,03-09-12,03-09-09,ISU,03-09-09,,40,27.5,,,,,,,,TRUE,FALSE,FALSE,TRUE,,gamma2,TRUE
2003029571,,2003,9,9,37,03-09-12,03-09-09,ISU,03-09-09,,NA,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,beta,TRUE
2003030002,,2003,9,12,37,03-09-09,03-09-12,ISU,03-09-12,,NA,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma-like,TRUE
2003031051,,2003,9,23,39,03-09-26,03-09-23,ISU,03-09-23,,77,40,,,,,,,,TRUE,FALSE,FALSE,TRUE,,not colored,TRUE
2003032474,,2003,10,6,41,03-10-11,03-10-06,ISU,03-10-06,,28,20,,,,,,,,TRUE,FALSE,FALSE,TRUE,,gamma,TRUE
2003032946,,2003,10,9,41,03-10-08,03-10-09,ISU,03-10-09,,70,25,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma2,TRUE
2003032946,,2003,10,9,41,03-10-08,03-10-09,ISU,03-10-09,,70,35,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma2,TRUE
2003032946,,2003,10,9,41,03-10-08,03-10-09,ISU,03-10-09,,70,40,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma2,TRUE
2003037454,,2003,11,25,48,03-11-28,03-11-25,ISU,03-11-25,,91,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma2,TRUE
2003037454,,2003,11,25,48,03-11-28,03-11-25,ISU,03-11-25,,77,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,gamma2,TRUE
2004000422,,2004,1,7,2,04-01-09,04-01-07,ISU,04-01-07,,14,4,,,,,,,,TRUE,TRUE,FALSE,TRUE,,not colored,TRUE
2004000680,,2004,1,8,2,04-01-08,04-01-08,ISU,04-01-08,,98,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,beta,TRUE
2004001216,,2004,1,15,3,04-01-15,04-01-15,ISU,04-01-15,,NA,180,,,,,,,,TRUE,TRUE,FALSE,TRUE,,beta,TRUE
2004002073,,2004,1,23,4,04-01-21,04-01-23,ISU,04-01-23,,NA,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,cluster_IV,TRUE
2004002545,,2004,1,29,5,04-01-29,04-01-29,ISU,04-01-29,,147,165,,,,,,,,TRUE,FALSE,FALSE,TRUE,,beta,TRUE
2004003011,,2004,2,4,6,04-02-06,04-02-04,ISU,04-02-04,,21,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,gamma,TRUE
2004008240,,2004,3,30,14,04-04-03,04-03-30,ISU,04-03-30,,98,90,,,,,,,,TRUE,TRUE,FALSE,TRUE,,cluster_IV,TRUE
2004009639,,2004,4,14,16,04-04-16,04-04-14,ISU,04-04-14,,NA,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,beta,TRUE
2004010016,,2004,4,16,16,04-04-14,04-04-16,ISU,04-04-16,,182,225,,,,,,,,TRUE,FALSE,FALSE,TRUE,,cluster_III,TRUE
2004011346,,2004,4,30,18,04-04-28,04-04-30,ISU,04-04-30,,NA,NA,,,,,,,,TRUE,TRUE,FALSE,TRUE,,not colored,TRUE
2004013889,,2004,5,25,22,04-05-29,04-05-25,ISU,04-05-25,,90,40,,,,,,,,TRUE,FALSE,FALSE,TRUE,,beta,TRUE
2004016126,,2004,6,15,25,04-06-19,04-06-15,ISU,04-06-15,,NA,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,gamma,TRUE
2004016126,,2004,6,15,25,04-06-19,04-06-15,ISU,04-06-15,,17.5,NA,,,,,,,,TRUE,FALSE,FALSE,TRUE,,gamma,TRUE
